StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
7,Port Henry Segment,5/7/92,1530,Chlorophyll-a,,,11.43,6.6,NY,9228003
7,Port Henry Segment,5/7/92,1530,Dissolved Organic Carbon,,U,3.8,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Iron,,U,5,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Lead,<,U,10,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Magnesium,,U,4.2,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Potassium,,U,1.6,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Sodium,,U,7.7,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Total Kjeldahl Nitrogen,,U,0.13,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Total Nitrate-Nitrite,,U,0.25,2,NY,9228003
7,Port Henry Segment,5/7/92,1530,Total Organic Carbon,,U,3.9,2,NY,9228003
7,Port Henry Segment,5/7/92,1545,Dissolved Organic Carbon,,H,3.5,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Iron,,H,5,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Lead,<,H,10,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Magnesium,,H,4.2,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Potassium,,H,1.4,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Sodium,,H,7.6,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Total Kjeldahl Nitrogen,,H,0.17,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Total Nitrate-Nitrite,,H,0.27,50,NY,9228004
7,Port Henry Segment,5/7/92,1545,Total Organic Carbon,,H,4,50,NY,9228004
7,Port Henry Segment,5/7/92,1530,Alkalinity,,U,55.1,2,VT,9262007
7,Port Henry Segment,5/7/92,1530,Chloride,,U,12.3,2,VT,9262007
7,Port Henry Segment,5/7/92,1530,Dissolved Phosphorus,,U,10,2,VT,9262007
7,Port Henry Segment,5/7/92,1530,Dissolved Silica,,U,0.52,2,VT,9262007
7,Port Henry Segment,5/7/92,1530,Ortho-Phosphorus,,U,10,2,VT,9262007
7,Port Henry Segment,5/7/92,1530,Secchi Depth,,,3.3,,,9262007
7,Port Henry Segment,5/7/92,1530,Temperature,,,6.7,1,,9262007
7,Port Henry Segment,5/7/92,1530,Total Nitrogen,,U,0.72,2,VT,9262007
7,Port Henry Segment,5/7/92,1530,Total Phosphorus,,U,22,2,VT,9262007
7,Port Henry Segment,5/7/92,1530,Total Suspended Solids,,U,1.63,2,VT,9262007
7,Port Henry Segment,5/7/92,1545,Alkalinity,,U,54.8,50,VT,9262008
7,Port Henry Segment,5/7/92,1545,Chloride,,U,12.3,50,VT,9262008
7,Port Henry Segment,5/7/92,1545,Dissolved Phosphorus,,U,9,50,VT,9262008
7,Port Henry Segment,5/7/92,1545,Dissolved Silica,,U,0.47,50,VT,9262008
7,Port Henry Segment,5/7/92,1545,Ortho-Phosphorus,,U,6,50,VT,9262008
7,Port Henry Segment,5/7/92,1545,Total Nitrogen,,U,0.64,50,VT,9262008
7,Port Henry Segment,5/7/92,1545,Total Phosphorus,,U,19,50,VT,9262008
7,Port Henry Segment,5/7/92,1545,Total Suspended Solids,,U,2.11,50,VT,9262008
7,Port Henry Segment,5/20/92,1255,Alkalinity,,E,54.8,2,VT,9228033
7,Port Henry Segment,5/20/92,1255,Chloride,,E,12.1,2,VT,9228033
7,Port Henry Segment,5/20/92,1255,Chlorophyll-a,,,7.75,6.6,NY,9228033
7,Port Henry Segment,5/20/92,1255,Dissolved Inorganic Carbon,,E,13,2,NY,9228033
7,Port Henry Segment,5/20/92,1255,Dissolved Organic Carbon,,E,4.4,2,NY,9228033
7,Port Henry Segment,5/20/92,1255,Dissolved Phosphorus,,E,7,2,VT,9228033
7,Port Henry Segment,5/20/92,1255,Dissolved Silica,,E,0.33,2,VT,9228033
7,Port Henry Segment,5/20/92,1255,Iron,,E,15,2,NY,9228033
7,Port Henry Segment,5/20/92,1255,Lead,<,E,10,2,NY,9228033
