StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Alkalinity,,E,48.8,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Chloride,,E,10.6,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Dissolved Inorganic Carbon,,E,10,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Dissolved Organic Carbon,,E,3.4,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Dissolved Phosphorus,,E,8,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Dissolved Silica,,E,0.78,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Iron,,E,5,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Lead,<,E,10,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Magnesium,,E,3.6,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Ortho-Phosphorus,,E,5,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Potassium,,E,1.5,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Secchi Depth,,,4.3,,,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Sodium,,E,6.8,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Total Kjeldahl Nitrogen,,E,0.16,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Total Nitrate-Nitrite,,E,0.16,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Total Nitrogen,,E,0.52,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Total Organic Carbon,,E,5,2,NY,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Total Phosphorus,,E,16,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1105,Total Suspended Solids,,E,1.92,2,VT,9228009
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Alkalinity,,H,49.1,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Chloride,,H,10.7,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Dissolved Inorganic Carbon,,H,11,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Dissolved Organic Carbon,,H,3.2,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Dissolved Phosphorus,,H,5,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Dissolved Silica,,H,0.83,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Iron,,H,34,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Lead,<,H,10,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Magnesium,,H,4.1,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Ortho-Phosphorus,,H,2,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Potassium,,H,1.4,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Sodium,,H,7.7,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Total Kjeldahl Nitrogen,,H,0.11,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Total Nitrate-Nitrite,,H,0.1,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Total Nitrogen,,H,0.5,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Total Organic Carbon,,H,3.5,48,NY,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Total Phosphorus,,H,10,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/12/92,1130,Total Suspended Solids,,H,0.87,48,VT,9228010
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Alkalinity,,E,48.1,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Chloride,,E,10.9,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Chlorophyll-a,,,6.94,8,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Dissolved Inorganic Carbon,,E,11,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Dissolved Organic Carbon,,E,5.5,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Dissolved Phosphorus,,E,4,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Dissolved Silica,,E,0.56,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Iron,,E,33,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Lead,<,E,10,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Magnesium,,E,3.5,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Ortho-Phosphorus,<,E,2,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Potassium,,E,1.4,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Secchi Depth,,,4,,,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Sodium,,E,6.7,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Temperature,,,8.7,1,,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Total Kjeldahl Nitrogen,,E,0.15,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Total Nitrate-Nitrite,,E,0.22,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Total Nitrogen,,E,0.57,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Total Organic Carbon,,E,9.1,2,NY,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Total Phosphorus,,E,12,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1145,Total Suspended Solids,,E,1.54,2,VT,9228024
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Alkalinity,,H,48.7,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Chloride,,H,11,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Dissolved Inorganic Carbon,,H,11,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Dissolved Organic Carbon,,H,4.5,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Dissolved Phosphorus,,H,6,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Dissolved Silica,,H,0.58,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Iron,,H,70,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Lead,<,H,10,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Magnesium,,H,3.9,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Ortho-Phosphorus,<,H,2,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Potassium,,H,1.4,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Sodium,,H,7.4,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Kjeldahl Nitrogen,,H,0.19,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Nitrate-Nitrite,,H,0.22,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Nitrogen,,H,0.56,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Organic Carbon,,H,4.2,51,NY,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Phosphorus,,H,10,51,VT,9228025
36,Isle LaMotte (off Grand Isle),5/19/92,1158,Total Suspended Solids,,H,1.45,51,VT,9228025
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Alkalinity,,E,48.2,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Chloride,,E,10.8,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Chlorophyll-a,,,5.89,7.8,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Inorganic Carbon,,E,11,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Organic Carbon,,E,3.5,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Phosphorus,,E,6,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Dissolved Silica,<,E,0.1,2,VT,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Iron,,E,20,2,NY,9228048
36,Isle LaMotte (off Grand Isle),6/4/92,1150,Lead,<,E,10,2,NY,9228048
