StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
21,Burlington Bay,5/15/92,1300,Alkalinity,,U,53,2,VT,9228020
21,Burlington Bay,5/15/92,1300,Chloride,,U,11.5,2,VT,9228020
21,Burlington Bay,5/15/92,1300,Chlorophyll-a,,,5.9,9.6,VT,9228020
21,Burlington Bay,5/15/92,1300,Dissolved Inorganic Carbon,,U,12,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Dissolved Organic Carbon,,U,6.8,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Dissolved Phosphorus,,U,8,2,VT,9228020
21,Burlington Bay,5/15/92,1300,Dissolved Silica,,U,0.39,2,VT,9228020
21,Burlington Bay,5/15/92,1300,Lead,<,U,10,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Magnesium,,U,4.4,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Potassium,,U,1.4,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Secchi Depth,,,4.8,,,9228020
21,Burlington Bay,5/15/92,1300,Sodium,,U,8.1,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Total Kjeldahl Nitrogen,,U,0.19,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Total Nitrate-Nitrite,,U,0.26,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Total Nitrogen,,U,0.58,2,VT,9228020
21,Burlington Bay,5/15/92,1300,Total Organic Carbon,,U,4.7,2,NY,9228020
21,Burlington Bay,5/15/92,1300,Total Phosphorus,,U,17,2,VT,9228020
21,Burlington Bay,5/15/92,1300,Total Suspended Solids,,U,1.63,2,VT,9228020
21,Burlington Bay,5/15/92,1310,Alkalinity,,U,51.9,14,VT,9228021
21,Burlington Bay,5/15/92,1310,Chloride,,U,11.4,14,VT,9228021
21,Burlington Bay,5/15/92,1310,Dissolved Inorganic Carbon,,U,12,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Dissolved Organic Carbon,,U,6.6,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Dissolved Phosphorus,,U,9,14,VT,9228021
21,Burlington Bay,5/15/92,1310,Dissolved Silica,,U,0.45,14,VT,9228021
21,Burlington Bay,5/15/92,1310,Iron,,U,39,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Lead,<,U,10,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Magnesium,,U,4,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Potassium,,U,1.3,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Sodium,,U,7.3,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Total Kjeldahl Nitrogen,,U,0.18,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Total Nitrate-Nitrite,,U,0.13,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Total Nitrogen,,U,0.56,14,VT,9228021
21,Burlington Bay,5/15/92,1310,Total Organic Carbon,,U,4.9,14,NY,9228021
21,Burlington Bay,5/15/92,1310,Total Phosphorus,,U,13,14,VT,9228021
21,Burlington Bay,5/15/92,1310,Total Suspended Solids,,U,1.06,14,VT,9228021
21,Burlington Bay,5/20/92,1610,Alkalinity,,U,52.6,2,VT,9228037
21,Burlington Bay,5/20/92,1610,Chloride,,U,11.7,2,VT,9228037
21,Burlington Bay,5/20/92,1610,Chlorophyll-a,,,8.56,7.6,NY,9228037
21,Burlington Bay,5/20/92,1610,Dissolved Inorganic Carbon,,U,12,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Dissolved Organic Carbon,,U,3.8,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Dissolved Phosphorus,,U,6,2,VT,9228037
21,Burlington Bay,5/20/92,1610,Dissolved Silica,,U,0.25,2,VT,9228037
21,Burlington Bay,5/20/92,1610,Iron,,U,20,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Lead,<,U,10,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Magnesium,,U,4,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Ortho-Phosphorus,,U,2,2,VT,9228037
21,Burlington Bay,5/20/92,1610,Potassium,,U,1.5,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Secchi Depth,,,3.8,,,9228037
21,Burlington Bay,5/20/92,1610,Sodium,,U,7.2,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Temperature,,,9.1,1,,9228037
21,Burlington Bay,5/20/92,1610,Total Kjeldahl Nitrogen,,U,0.19,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Total Nitrate-Nitrite,,U,0.19,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Total Nitrogen,,U,0.56,2,VT,9228037
21,Burlington Bay,5/20/92,1610,Total Organic Carbon,,U,5.4,2,NY,9228037
21,Burlington Bay,5/20/92,1610,Total Phosphorus,,U,25,2,VT,9228037
21,Burlington Bay,5/20/92,1610,Total Suspended Solids,,U,1.55,2,VT,9228037
21,Burlington Bay,6/9/92,1430,Alkalinity,,U,51.9,2,VT,9228058
21,Burlington Bay,6/9/92,1430,Chloride,,U,11.4,2,VT,9228058
21,Burlington Bay,6/9/92,1430,Chlorophyll-a,,,6.57,6.6,NY,9228058
21,Burlington Bay,6/9/92,1430,Dissolved Inorganic Carbon,,U,12,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Dissolved Organic Carbon,,U,4,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Dissolved Phosphorus,,U,8,2,VT,9228058
21,Burlington Bay,6/9/92,1430,Dissolved Silica,<,U,0.1,2,VT,9228058
21,Burlington Bay,6/9/92,1430,Iron,,U,21,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Lead,<,U,10,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Magnesium,,U,3.7,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Ortho-Phosphorus,,U,8,2,VT,9228058
21,Burlington Bay,6/9/92,1430,pH,,U,8.6,2,VT,9228058
21,Burlington Bay,6/9/92,1430,Potassium,,U,1.5,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Secchi Depth,,,3.3,,,9228058
21,Burlington Bay,6/9/92,1430,Sodium,,U,6.9,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Temperature,,,13.6,1,,9228058
21,Burlington Bay,6/9/92,1430,Total Ammonia,<,U,0.005,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Total Kjeldahl Nitrogen,,U,0.16,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Total Nitrate-Nitrite,,U,0.15,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Total Nitrogen,,U,0.48,2,VT,9228058
21,Burlington Bay,6/9/92,1430,Total Organic Carbon,,U,3.8,2,NY,9228058
21,Burlington Bay,6/9/92,1430,Total Phosphorus,,U,18,2,VT,9228058
21,Burlington Bay,6/9/92,1430,Total Suspended Solids,,U,0.95,2,VT,9228058
21,Burlington Bay,6/23/92,1345,Alkalinity,,U,52.4,2,VT,9228061
21,Burlington Bay,6/23/92,1345,Chloride,,U,11.1,2,VT,9228061
21,Burlington Bay,6/23/92,1345,Chlorophyll-a,,,3.55,10,NY,9228061
21,Burlington Bay,6/23/92,1345,Dissolved Inorganic Carbon,,U,12,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Dissolved Organic Carbon,,U,3.8,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Dissolved Phosphorus,,U,7,2,VT,9228061
21,Burlington Bay,6/23/92,1345,Dissolved Silica,<,U,0.1,2,VT,9228061
21,Burlington Bay,6/23/92,1345,Iron,,U,31,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Lead,,U,17,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Magnesium,,U,3.9,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Ortho-Phosphorus,,U,2,2,VT,9228061
21,Burlington Bay,6/23/92,1345,Potassium,,U,1.5,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Secchi Depth,,,5,,,9228061
21,Burlington Bay,6/23/92,1345,Sodium,,U,7,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Total Ammonia,,U,0.008,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Total Kjeldahl Nitrogen,,U,0.14,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Total Nitrate-Nitrite,,U,0.43,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Total Nitrogen,,U,0.46,2,VT,9228061
21,Burlington Bay,6/23/92,1345,Total Organic Carbon,,U,6,2,NY,9228061
21,Burlington Bay,6/23/92,1345,Total Phosphorus,,U,13,2,VT,9228061
21,Burlington Bay,6/23/92,1345,Total Suspended Solids,,U,0.81,2,VT,9228061
21,Burlington Bay,7/9/92,1045,Alkalinity,,U,51.5,2,VT,9228078
21,Burlington Bay,7/9/92,1045,Chloride,,U,11.4,2,VT,9228078
21,Burlington Bay,7/9/92,1045,Chlorophyll-a,,,5.58,11,NY,9228078
21,Burlington Bay,7/9/92,1045,Dissolved Inorganic Carbon,,U,12,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Dissolved Organic Carbon,,U,2.2,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Dissolved Phosphorus,,U,6,2,VT,9228078
21,Burlington Bay,7/9/92,1045,Dissolved Silica,<,U,0.1,2,VT,9228078
21,Burlington Bay,7/9/92,1045,Iron,,U,41,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Lead,<,U,10,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Magnesium,,U,3.6,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Ortho-Phosphorus,<,U,2,2,VT,9228078
21,Burlington Bay,7/9/92,1045,Potassium,,U,1.5,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Secchi Depth,,,5.5,,,9228078
21,Burlington Bay,7/9/92,1045,Sodium,,U,7.4,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Total Ammonia,,U,0.017,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Total Kjeldahl Nitrogen,,U,0.11,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Total Nitrate-Nitrite,,U,0.13,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Total Nitrogen,,U,0.48,2,VT,9228078
21,Burlington Bay,7/9/92,1045,Total Organic Carbon,,U,2.2,2,NY,9228078
21,Burlington Bay,7/9/92,1045,Total Phosphorus,,U,10,2,VT,9228078
21,Burlington Bay,7/9/92,1045,Total Suspended Solids,,U,0.49,2,VT,9228078
